_id.int32(),name.string(),type1.string(),type2.string(),total.int32(),hp.int32(),attack.int32(),defense.int32(),spatk.int32(),spdef.int32(),speed.int32(),generation.int32(),legendary.boolean()
1,bulbasaur,grass,poison,318,45,49,49,65,65,45,1,false
2,ivysaur,grass,poison,405,60,62,63,80,80,60,1,false
3,venusaur,grass,poison,525,80,82,83,100,100,80,1,false
4,charmander,fire,,309,39,52,43,60,50,65,1,false
5,charmeleon,fire,,405,58,64,58,80,65,80,1,false
6,charizard,fire,flying,534,78,84,78,109,85,100,1,false
7,squirtle,water,,314,44,48,65,50,64,43,1,false
8,wartortle,water,,405,59,63,80,65,80,58,1,false
9,blastoise,water,,530,79,83,100,85,105,78,1,false
10,caterpie,bug,,195,45,30,35,20,20,45,1,false
11,metapod,bug,,205,50,20,55,25,25,30,1,false
12,butterfree,bug,flying,395,60,45,50,90,80,70,1,false
13,weedle,bug,poison,195,40,35,30,20,20,50,1,false
14,kakuna,bug,poison,205,45,25,50,25,25,35,1,false
15,beedrill,bug,poison,395,65,90,40,45,80,75,1,false
16,pidgey,normal,flying,251,40,45,40,35,35,56,1,false
17,pidgeotto,normal,flying,349,63,60,55,50,50,71,1,false
18,pidgeot,normal,flying,479,83,80,75,70,70,101,1,false
19,rattata,normal,,253,30,56,35,25,35,72,1,false
20,raticate,normal,,413,55,81,60,50,70,97,1,false
21,spearow,normal,flying,262,40,60,30,31,31,70,1,false
22,fearow,normal,flying,442,65,90,65,61,61,100,1,false
23,ekans,poison,,288,35,60,44,40,54,55,1,false
24,arbok,poison,,438,60,85,69,65,79,80,1,false
25,pikachu,electric,,320,35,55,40,50,50,90,1,false
26,raichu,electric,,485,60,90,55,90,80,110,1,false
27,sandshrew,ground,,300,50,75,85,20,30,40,1,false
28,sandslash,ground,,450,75,100,110,45,55,65,1,false
29,nidoran♀,poison,,275,55,47,52,40,40,41,1,false
30,nidorina,poison,,365,70,62,67,55,55,56,1,false
31,nidoqueen,poison,ground,505,90,92,87,75,85,76,1,false
32,nidoran♂,poison,,273,46,57,40,40,40,50,1,false
33,nidorino,poison,,365,61,72,57,55,55,65,1,false
34,nidoking,poison,ground,505,81,102,77,85,75,85,1,false
35,clefairy,fairy,,323,70,45,48,60,65,35,1,false
36,clefable,fairy,,483,95,70,73,95,90,60,1,false
37,vulpix,fire,,299,38,41,40,50,65,65,1,false
38,ninetales,fire,,505,73,76,75,81,100,100,1,false
39,jigglypuff,normal,fairy,270,115,45,20,45,25,20,1,false
40,wigglytuff,normal,fairy,435,140,70,45,85,50,45,1,false
41,zubat,poison,flying,245,40,45,35,30,40,55,1,false
42,golbat,poison,flying,455,75,80,70,65,75,90,1,false
43,oddish,grass,poison,320,45,50,55,75,65,30,1,false
44,gloom,grass,poison,395,60,65,70,85,75,40,1,false
45,vileplume,grass,poison,490,75,80,85,110,90,50,1,false
46,paras,bug,grass,285,35,70,55,45,55,25,1,false
47,parasect,bug,grass,405,60,95,80,60,80,30,1,false
48,venonat,bug,poison,305,60,55,50,40,55,45,1,false
49,venomoth,bug,poison,450,70,65,60,90,75,90,1,false
50,diglett,ground,,265,10,55,25,35,45,95,1,false
51,dugtrio,ground,,405,35,80,50,50,70,120,1,false
52,meowth,normal,,290,40,45,35,40,40,90,1,false
53,persian,normal,,440,65,70,60,65,65,115,1,false
54,psyduck,water,,320,50,52,48,65,50,55,1,false
55,golduck,water,,500,80,82,78,95,80,85,1,false
56,mankey,fighting,,305,40,80,35,35,45,70,1,false
57,primeape,fighting,,455,65,105,60,60,70,95,1,false
58,growlithe,fire,,350,55,70,45,70,50,60,1,false
59,arcanine,fire,,555,90,110,80,100,80,95,1,false
60,poliwag,water,,300,40,50,40,40,40,90,1,false
61,poliwhirl,water,,385,65,65,65,50,50,90,1,false
62,poliwrath,water,fighting,510,90,95,95,70,90,70,1,false
63,abra,psychic,,310,25,20,15,105,55,90,1,false
64,kadabra,psychic,,400,40,35,30,120,70,105,1,false
65,alakazam,psychic,,500,55,50,45,135,95,120,1,false
66,machop,fighting,,305,70,80,50,35,35,35,1,false
